Srno.,rebalance_date,rebalance_reason,turnover,transaction_cost,portfolio_value_before_cost,portfolio_value_after_cost,max_weight_drift
145,2024-06-28T00:00:00.000,threshold,0.176662263,448.150912,1691177.671,1690729.52,0.072628057
146,2024-07-01T00:00:00.000,calendar,0.047057307,119.5932767,1694292.699,1694173.106,0.025304212
147,2024-07-11T00:00:00.000,threshold,0.11109297,289.2743723,1735929.666,1735640.391,0.061054087
148,2024-07-18T00:00:00.000,threshold,0.085810991,226.7151452,1761352.813,1761126.098,0.061716408
149,2024-07-22T00:00:00.000,threshold,0.141998653,371.6490299,1744847.68,1744476.031,0.06391633
150,2024-08-01T00:00:00.000,calendar,0.137771551,357.7607305,1731178.544,1730820.783,0.043798493
151,2024-09-02T00:00:00.000,calendar,0.055190521,145.5625387,1758303.605,1758158.043,0.033412784
152,2024-09-11T00:00:00.000,threshold,0.124096194,330.4945282,1775474.963,1775144.469,0.051458867
153,2024-09-30T00:00:00.000,threshold,0.070769092,195.5669797,1842301.239,1842105.672,0.055378455
154,2024-10-01T00:00:00.000,calendar_or_threshold,0.052581951,145.1237662,1839969.352,1839824.229,0.050555486
155,2024-11-01T00:00:00.000,calendar,0.037191181,101.6711925,1822496.451,1822394.78,0.025162187
156,2024-11-12T00:00:00.000,threshold,0.115277361,301.0458623,1740994.408,1740693.362,0.05199575
157,2024-11-21T00:00:00.000,threshold,0.114863275,299.6461276,1739146.696,1738847.05,0.051943675
158,2024-12-02T00:00:00.000,calendar,0.06584397,173.4049055,1755715.377,1755541.972,0.023923098
159,2024-12-16T00:00:00.000,threshold,0.107275284,283.7820092,1763574.975,1763291.193,0.053283455
160,2025-01-01T00:00:00.000,calendar,0.123960243,327.4087736,1760826.777,1760499.368,0.042986594
161,2025-01-30T00:00:00.000,threshold,0.180245313,478.824945,1771012.094,1770533.269,0.071783128
162,2025-02-01T00:00:00.000,calendar,0.105491132,285.6207056,1805021.904,1804736.283,0.041919961
163,2025-02-05T00:00:00.000,threshold,0.169097217,466.4367447,1838929.319,1838462.882,0.090477425
164,2025-02-14T00:00:00.000,threshold,0.175594566,482.0963109,1830338.763,1829856.666,0.080377214
165,2025-02-20T00:00:00.000,threshold,0.066088344,181.3796491,1829668.586,1829487.206,0.052978423
166,2025-02-27T00:00:00.000,threshold,0.153654323,414.262995,1797380.797,1796966.534,0.074002073
167,2025-03-03T00:00:00.000,calendar,0.087707386,231.8849218,1762564.753,1762332.868,0.041239831
168,2025-04-01T00:00:00.000,calendar,0.05210184,143.2168155,1832524.089,1832380.872,0.027644977
